page_id,page_name,disclaimer,amount_spent_eur,number_of_ads_in_library,fb_page,fbad_page,party
106529315391544,IkLobby,IkLobby,5148,48,https://www.facebook.com/106529315391544,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=106529315391544&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
1409007399336866,BNNVARA,BNNVARA,5000,29,https://www.facebook.com/1409007399336866,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=1409007399336866&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
115694621618493,Samen voor een veilige buurt,RIEC Oost-Nederland,4741,565,https://www.facebook.com/115694621618493,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=115694621618493&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie,4688,18,https://www.facebook.com/609816282477420,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=609816282477420&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,FvD
141801972540083,EW Magazine,EW Magazine,4589,76,https://www.facebook.com/141801972540083,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=141801972540083&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
121264564551002,VVD,VVD,4049,169,https://www.facebook.com/121264564551002,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=121264564551002&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,VVD
128398963691057,Vraagje?,"Ministerie van Volksgezondheid, Welzijn en Sport",3963,15,https://www.facebook.com/128398963691057,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=128398963691057&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
338750440106782,BBB BoerBurgerBeweging,Boerburgerbeweging,3950,3,https://www.facebook.com/338750440106782,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=338750440106782&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,BBB
100993049941618,Gemeente Den Haag,Gemeente Den Haag,3720,16,https://www.facebook.com/100993049941618,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=100993049941618&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
640413262653563,Fossielvrij NL,Fossielvrij NL,3660,29,https://www.facebook.com/640413262653563,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=640413262653563&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA
