page_id,page_name,disclaimer,amount_spent_eur,number_of_ads_in_library,fb_page,fbad_page,party,coder,other
146644665960101,Volt Nederland,Volt Nederland,20826,200,https://www.facebook.com/146644665960101,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=146644665960101&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Volt Nederland,Eva,
101589685639286,Stop extra bierbelasting,Nederlandse Brouwers,19211,5,https://www.facebook.com/101589685639286,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=101589685639286&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
178362315106,European Parliament,European Parliament,18395,158,https://www.facebook.com/178362315106,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=178362315106&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
1830425247191865,Cordaid,Cordaid,18285,31,https://www.facebook.com/1830425247191865,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=1830425247191865&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
100364422327666,BVNL - Belang van Nederland,BVNL,17828,14,https://www.facebook.com/100364422327666,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=100364422327666&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,BVNL,Eva,
118754531489898,Artsen zonder Grenzen,Artsen zonder Grenzen Nederland,17367,27,https://www.facebook.com/118754531489898,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=118754531489898&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
100169997009,Proefdiervrij,Proefdiervrij,16422,144,https://www.facebook.com/100169997009,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=100169997009&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
100660309175869,NieuwRechts,NieuwRechts.nl,15782,178,https://www.facebook.com/100660309175869,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=100660309175869&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
349312760804,World Vision Nederland,World Vision NL,15742,236,https://www.facebook.com/349312760804,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=349312760804&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
428670174395114,Vattenfall,Vattenfall Nederland,15030,25,https://www.facebook.com/428670174395114,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=428670174395114&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
285512534937,Terre des Hommes Nederland,Terre des Hommes Nederland,14937,76,https://www.facebook.com/285512534937,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=285512534937&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
245644432148792,ING Nederland,ING Nederland,14806,22,https://www.facebook.com/245644432148792,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=245644432148792&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
969158383214898,Wybren van Haga - BVNL,BVNL,14049,16,https://www.facebook.com/969158383214898,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=969158383214898&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,BVNL,Eva,
203753056314055,Varkens in Nood,Varkens in Nood,14005,45,https://www.facebook.com/203753056314055,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=203753056314055&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
133720236695807,Werken voor Nederland,Werken voor Nederland,13990,72,https://www.facebook.com/133720236695807,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=133720236695807&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
133687759997528,ASN Bank,ASN Bank,12397,2,https://www.facebook.com/133687759997528,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=133687759997528&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
128393027527,SP,SP,12200,137,https://www.facebook.com/128393027527,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=128393027527&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,SP,Eva,
107872495911431,VluchtelingenWerk Nederland,VluchtelingenWerk Nederland,11899,28,https://www.facebook.com/107872495911431,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=107872495911431&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
110087955484633,Beweging Limburg tegen Kindermishandeling,INOVA,11850,14,https://www.facebook.com/110087955484633,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=110087955484633&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
142080576837,Vrij Nederland,Vrij Nederland,11181,22,https://www.facebook.com/142080576837,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=142080576837&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
137011549489828,GroenLinks-PvdA,GroenLinks-PvdA,10362,3,https://www.facebook.com/137011549489828,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=137011549489828&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,GroenLinks-PvdA,Eva,GroenLinks-PvdA
1607001549529193,"Waterschap Amstel, Gooi en Vecht","Waterschap Amstel, Gooi en Vecht",10159,38,https://www.facebook.com/1607001549529193,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=1607001549529193&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
171605059556434,World Animal Protection Nederland,World Animal Protection Nederland,9475,111,https://www.facebook.com/171605059556434,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=171605059556434&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
108569272275857,Blij van Zuivelvrij,Stichting Dier&Recht,8581,76,https://www.facebook.com/108569272275857,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=108569272275857&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
108588405832078,Amref Flying Doctors NL,Amref Flying Doctors NL,8336,45,https://www.facebook.com/108588405832078,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=108588405832078&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
121719834601889,FNV Vakbond,FNV Vakbond,8312,73,https://www.facebook.com/121719834601889,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=121719834601889&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
514814491878400,NVVE,NVVE,8291,151,https://www.facebook.com/514814491878400,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=514814491878400&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
100245303370876,APG,APG,8063,13,https://www.facebook.com/100245303370876,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=100245303370876&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
122074554119,EU Social,EU Social,7992,22,https://www.facebook.com/122074554119,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=122074554119&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
404247949634770,CARE Nederland,CARE Nederland,7590,214,https://www.facebook.com/404247949634770,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=404247949634770&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
106370071810105,Cultuur onder Vuur NL,Stichting Civitas Christiana,7389,18,https://www.facebook.com/106370071810105,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=106370071810105&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
281600435192259,Fonds Slachtofferhulp,Fonds Slachtofferhulp,7243,62,https://www.facebook.com/281600435192259,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=281600435192259&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
399250573436072,Werken bij Defensie,Werken bij Defensie,6984,21,https://www.facebook.com/399250573436072,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=399250573436072&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
222029491143966,Free Press Unlimited,Free Press Unlimited,6859,18,https://www.facebook.com/222029491143966,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=222029491143966&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
105784111524296,Ekō NL,Ekō NL,6857,12,https://www.facebook.com/105784111524296,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=105784111524296&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
384101518433208,Waterklaar,INOVA,6828,14,https://www.facebook.com/384101518433208,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=384101518433208&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
194041757291378,PAX,PAX,6257,43,https://www.facebook.com/194041757291378,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=194041757291378&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
115027651906533,Wakker Dier,Stichting Wakker Dier,5676,86,https://www.facebook.com/115027651906533,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=115027651906533&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
105539054523015,Futureproof NL,Futureproof,5370,140,https://www.facebook.com/105539054523015,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=105539054523015&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
115394861582421,Verbroken Ketenen Verbonden Rotterdam,Gemeente Rotterdam,5360,19,https://www.facebook.com/115394861582421,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=115394861582421&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
198486356863605,Longfonds,Longfonds,5233,60,https://www.facebook.com/198486356863605,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=198486356863605&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
106529315391544,IkLobby,IkLobby,5148,48,https://www.facebook.com/106529315391544,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=106529315391544&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
1409007399336866,BNNVARA,BNNVARA,5000,29,https://www.facebook.com/1409007399336866,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=1409007399336866&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
115694621618493,Samen voor een veilige buurt,RIEC Oost-Nederland,4741,565,https://www.facebook.com/115694621618493,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=115694621618493&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie,4688,18,https://www.facebook.com/609816282477420,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=609816282477420&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,FvD,Eva,
141801972540083,EW Magazine,EW Magazine,4589,76,https://www.facebook.com/141801972540083,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=141801972540083&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
121264564551002,VVD,VVD,4049,169,https://www.facebook.com/121264564551002,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=121264564551002&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,VVD,Eva,
128398963691057,Vraagje?,"Ministerie van Volksgezondheid, Welzijn en Sport",3963,15,https://www.facebook.com/128398963691057,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=128398963691057&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
338750440106782,BBB BoerBurgerBeweging,Boerburgerbeweging,3950,3,https://www.facebook.com/338750440106782,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=338750440106782&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,BBB,Eva,
100993049941618,Gemeente Den Haag,Gemeente Den Haag,3720,16,https://www.facebook.com/100993049941618,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=100993049941618&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
640413262653563,Fossielvrij NL,Fossielvrij NL,3660,29,https://www.facebook.com/640413262653563,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=640413262653563&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
117483088313381,CIWF Nederland,CIWF Nederland,3655,5,https://www.facebook.com/117483088313381,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=117483088313381&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
243860895651424,Tearfund Nederland,Tearfund,3623,72,https://www.facebook.com/243860895651424,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=243860895651424&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
105339817717917,Gezin in Gevaar,Stichting Civitas Christiana,3555,12,https://www.facebook.com/105339817717917,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=105339817717917&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
106020448037192,JA21,JA21.nl,3433,31,https://www.facebook.com/106020448037192,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=106020448037192&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,Ja21,Eva,
115077391879906,"Ministerie van Onderwijs, Cultuur en Wetenschap","Ministerie van Onderwijs, Cultuur en Wetenschap",3418,12,https://www.facebook.com/115077391879906,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=115077391879906&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
208250375865238,Woord en Daad,Stichting Woord en Daad,3405,221,https://www.facebook.com/208250375865238,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=208250375865238&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
143686555666670,Trees for All,Trees for All,3285,31,https://www.facebook.com/143686555666670,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=143686555666670&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
134267673299598,NPO Radio 1,NPO Radio 1,3230,5,https://www.facebook.com/134267673299598,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=134267673299598&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
148404651881567,VNO-NCW,VNO-NCW,3136,80,https://www.facebook.com/148404651881567,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=148404651881567&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
403772503084759,Rijksdienst voor Ondernemend Nederland - RVO,Rijksdienst voor Ondernemend Nederland - RVO,3020,10,https://www.facebook.com/403772503084759,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=403772503084759&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
202064936858448,Geert Wilders,Geert Wilders,3012,2,https://www.facebook.com/202064936858448,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=202064936858448&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,PVV,Eva,
119867424761918,Stadsdeel Centrum Amsterdam,Gemeente Amsterdam,3012,329,https://www.facebook.com/119867424761918,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=119867424761918&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
1550088745275913,DENK,DENK,2955,45,https://www.facebook.com/1550088745275913,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=1550088745275913&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,DENK,Eva,
325306177501144,Amsterdam Stadsdeel Zuid,Gemeente Amsterdam,2872,108,https://www.facebook.com/325306177501144,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=325306177501144&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
107948478848391,Art.1 Midden Nederland,Art.1 Midden Nederland,2727,139,https://www.facebook.com/107948478848391,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=107948478848391&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
147683725284795,Mercy Ships Holland,Mercy Ships Holland,2515,43,https://www.facebook.com/147683725284795,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=147683725284795&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
114824741963035,Kom over en help,St. Kom over en help,2401,52,https://www.facebook.com/114824741963035,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=114824741963035&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
314184649030,Probeer de Bond,Probeer de Bond,2245,13,https://www.facebook.com/314184649030,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=314184649030&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
193853323977481,Stadsdeel Amsterdam Zuidoost,Gemeente Amsterdam,2209,428,https://www.facebook.com/193853323977481,https://www.facebook.com/ads/library/?active_status=all&ad_type=political_and_issue_ads&country=NL&view_all_page_id=193853323977481&sort_data[direction]=desc&sort_data[mode]=relevancy_monthly_grouped&search_type=page&media_type=all,NA,Eva,
